상품명,규격,단위수량,표준바코드,본사바코드,대표바코드,물류바코드,상품구분,제품설명
카네스텐데일리청결제,200ml,1,8801334000016,,,,비의약품,-
바르지오네일라카,4ml,1,8806427063312,,,,일반의약품,-
시클로원스네일라카,4ml,1,8806717044915,,,,일반의약품,"갈지말고 닦지말고 바르는
손∙발톱 무좀 치료제"
KC발목보호대,S,1,8809072980799,,,,비의약품,-
밴드존아쿠아표준,10매,1,8806538900117,,,,비의약품,-
스웨클로액,30ml,1,8806418058419,,,,일반의약품,-
KC발목보호대,L,1,8809072980775,,,,비의약품,-
KC발목보호대,M,1,8809072980782,,,,비의약품,-
리스테린내추럴그린티,250ml,1,8801008700358,,,,비의약품,-
리스테린내추럴그린티,500ml,1,8801008700365,,,,비의약품,-
우리아기피부엔,100매,1,8806018706512,,,,비의약품,-
리뉴후레쉬여행용,60ml+60ml+렌즈케이스,1,8806128400416,,,,비의약품,-
로프민캡슐,10c,1,8806494005147,,,,일반의약품,열감없는 설사에 사용
오큐소프트리드스크럽플러스,7p,1,015718303077,,,,비의약품,-
삼현백색바세린,100ml,1,8809034584737,,,,비의약품,-
헬로키티키즈쿨액,50ml,1,8809434840525,,,,비의약품,-
키즈앤펜시럽,5ml*10p,1,8806418058327,,,,일반의약품,"스틱형 이부프로펜 시럽
어린이 해열진통제"
포토덤미네랄SPF50+,1EA,1,3401598588593,,,,비의약품,-
쌍화원,100ml,1,8809122240552,,,,비의약품,-
아텍스테이핑프리컷,2EA,1,8809434841324,,,,비의약품,-
엑스텐비오틴포르테,90T,1,625349228092,,,,건강기능식품,"다이어트 보조제+비오틴 모발,
피부 상하지 않게 비오틴 고함량 함유"
톱큐어네일라카,1EA,1,8806538050218,,,,일반의약품,손발톱 무좀약
오랄비왁스치실,50m,1,4103330017253,,,,비의약품,-
잡스아웃도어미스트,100ml,1,8806018706833,,,,비의약품,-
네오밴드표준덕용,22매,1,8809449340027,,,,비의약품,-
대웅큐텐비타에이스,60c*2EA,1,8809124110112,,,,건강기능식품,"혈액순환과 항산화를 동시에
항산화비타민+CoQ10(4개월)"
헬스드레싱밴드흰색(S),8매,1,8809003722306,,,8809003720500,비의약품,-
네오밴드플러스(표준),80매,1,8809449340102,,,,비의약품,-
네오밴드플러스(혼합),80매,1,8809449340089,,,,비의약품,-
