상품명,규격,단위수량,표준바코드,본사바코드,대표바코드,물류바코드,상품구분,제품설명
에스빌이부연질캡슐200mg(이부프로펜),10c,1,8806932023610,,,,일반의약품,"두통,생리통,관절통,치통"
팜스슈퍼헴철,10포,10,8809250191047,,,,건강기능식품,"위장장애 변비 없는
고함량 햄철"
투엑스비엠연질캡슐,10c,1,8800551020227,,,,일반의약품,종합비타민(육체피로)
구트하르 허니비어51 샴푸앤트리트먼트,500ml,1,8809082379804,,,,비의약품,-
중외클리닉아쿠아밴드(표준),10매*20EA,20,18806041005856,,,,비의약품,-
닥터포스킨스트레치라인크림,180ml,1,8809261552585,,,,비의약품,-
피비25프리미엄포스트바이오틱스,60C,1,8812441036124,,,,건강기능식품,"신바이오틱스+유산균배양 건조물
100억 유산균,하루 1캡슐씩"
셀렌플렉스 300,120C,1,8809306365880,,,,건강기능식품,"항암 보조 요법 무기 셀레늄
항산화 효과 및 저산소증 개선"
설포플랙스피케이정,10T,1,8809306366139,,,,건강기능식품,관절에 좋은 MSM영양제
더팜아이조아아연시럽,50ml*6병,1,8809668703658,,,,건강기능식품,"면역 필수 영양제 아연
맛있는 딸기맛 시럽(1개월)"
포켓몬스터DP미세먼지4중차단항균입체마스크,1EA,1,8809276550422,,,,비의약품,-
에르고자임포르테,60c,2,8809706490038,,,,건강기능식품,"소화대사효소제 만성 소화불량
,위염/위장병에 특효"
튼튼이치약(딸기향),1EA,1,8809705641967,,,,비의약품,-
콜키퍼시럽(종합감기),13ml*6포,1,8806581078726,,,,일반의약품,"짜먹는 종합감기약
한방제제 함유6포"
퓨어온 쏘팔메토옥타코사놀,60c,1,8806119822050,,,,건강기능식품,"전립선 건강에 도움되고
활력을 위해"
퍼팩트프로틴아미노100,1포,1,8809118355963,,,,비의약품,-
슈팅다이노드림아이키즈비타,20정,1,8809427531003,,,,비의약품,-
유한알티지식물성오메가3,60c*2,2,8806006306410,,,,건강기능식품,"중금속 걱정없는 식물성원료
흡수율높은  RTG형태"
일동면역그린프로폴리스,60C,1,8806018713688,,,,일반의약품,"프로폴리스+아연+로얄젤리
+화분추출분말 최고의 조합"
호올스(하니레몬),9T,1,6924513900074,,,,비의약품,-
설포플렉스피케이정,120T,1,8809306366122,,,,건강기능식품,관절에 좋은 MSM영양제
테트라블랙비말차단50매,50매,1,8806035114123,,,,일반의약품,비말차단마스크
레모나황사방역마스크KF94,장,1,8809744101019,,,,비의약품,-
코앤텍민트,8g,1,8806109100069,,,,비의약품,-
코앤텍플레인,8g,1,8806109100045,,,,일반의약품,-
호올스(아이스블루),9T,1,6924513900098,,,,비의약품,-
남해써미트식이섬유,400T,1,8809065165110,,,,비의약품,-
돌체락원스산,5포,1,8806478050521,,,,일반의약품,"안전하고 효과좋은 변비약
내성 없고 배도 안아파요"
리포직이디오점안겔,30EA,1,8806644002736,,,,일반의약품,"일회용,낱개포장 인공눈물만으로
부족한 안구건조증에 추천"
센스온액티브,60c,1,8806534046215,,,,일반의약품,"마그네슘+활성형비타민,근육통
신경통,스트레스회복에 도움"
비피스,120T,120,8809097851319,,,,건강기능식품,"장에 열이 많아 염증이
심할때 좋은 유산균"
케토톱플라스타,40매,1,8806521052892,,,,일반의약품,소염진통제 파스
국보황사마스크KF94,10매,10,8809764480071,,,,비의약품,-
비디마이크로파인펜니들31G,100p,1,0382903204717,,,,비의약품,-
셀메드시아플렉스스칼프케어토닉,100ml,1,8809306366207,,,,비의약품,-
셀로맥스아티진포르테,60T,1,8807001101598,,,,건강기능식품,-
비겐 대용량 4G,60g,1,4549228107468,,,,일반의약품,모발염색약
비겐 대용량5G,60g,1,4549228107451,,,,일반의약품,모발염색약
비겐 대용량 6G,60g,1,4549228107475,,,,일반의약품,모발염색약
LP손목보호대726,free,1,4717556726013,,,,비의약품,-
조아파모티딘,10T,10,8806446041711,,,,일반의약품,쓰린 속 편안하게
비겐 대용량 7G,1,1,4549228107482,,,,비의약품,-
일동면역그린프로폴리스,60c*2,1,8806018713695,,,,건강기능식품,"프로폴리스+아연+로얄젤리
+화분추출분말 최고의 조합"
향기나는수면안대소나타엘레강스(아로마),1EA,1,8809128344568,,,,비의약품,-
콜콜트로키,12EA,1,8806446041612,,,,일반의약품,"녹여먹는 목감기약
모과맛12정"
에폴민카타플라스마,7매,1,8806456014323,,,,일반의약품,"관절 근육통,관절통 완화
시원한 파스"
메이킨큐,40T,1,8806519041037,,,,일반의약품,-
하이맘폼에이지블러드,1매,1,8800048007687,,,,비의약품,-
라니탄큐,20T,20,8806575034943,,,,일반의약품,"소화불량,더부룩함,구역구토,
속쓰림에 복용하는 만능 소화제"
바세린프로텍팅젤리알로에,100ml,1,8801619049358,,,,비의약품,-
관절엔보스웰리아플러스,60T*2,1,18806018712640,,,,건강기능식품,-
프리미엄레드클린오메가3,60C*2,60,8809642491007,,,,일반의약품,"기억력개선과 혈행개선
건조한 눈 개선,항산화효과"
오가닉오늘팬티라이너롱,20EA,1,8809023488015,,,,비의약품,-
패션콘돔2(굴곡형),10p,1,8802550025227,,,,비의약품,-
로보카폴리열냉각시트,6매,1,6934523190099,,,,비의약품,-
로보카폴리열냉각시트,6매*10EA,1,6934523190105,,,,비의약품,-
MH1,80ml,30,8809295352120,,,,비의약품,-
아스마에프시럽,100ml,1,8806417058113,,,,일반의약품,"기침, 가래"
에이드림 스텝2,120*2,1,8809513010740,,,,건강기능식품,"만성피로 회복 스트레스 완화,
활력 보충, 노화 예방"
천연레몬향구슬팔찌(어린이용/블루),1EA,1,8809276550828,,,,비의약품,-
아에르어드밴스드KF94소형(흰색),1EA,1,8809493474808,,,,비의약품,-
아에르어드밴스드KF94소형(회색),1EA,1,8809493474860,,,,비의약품,-
아에르어드밴스드KF94소형(검정),1EA,1,8809493474839,,,,비의약품,-
올데이황사방역미세먼지마스크KF94,1EA,1,8809557061449,,,,비의약품,-
기분좋게아로마말풍선패치,8매,1,8809509232644,,,,일반의약품,마스크 아로마 패치
인택트포도당캔디(레몬),40g,1,4005292002646,,,,비의약품,-
인택트포도당캔디(블루베리),40g,1,4005292002622,,,,비의약품,-
에어랩비말차단마스크KF-AD(흰색),50EA,1,6970314351355,,,,비의약품,-
한솔부항기(고급형),1EA,1,8809118710014,,,,비의약품,-
하이테크 크레솔비누액,200ml,1,8809295770191,,,,비의약품,-
하이테크염산,400ml,1,8809295770184,,,,비의약품,-
하이테크소독용에탄올,60ml,1,8809295770047,,,,비의약품,-
비바롤캡슐,90C,1,8809306365798,,,,건강기능식품,"식물성 모체 오메가3 노유파
알파리놀렌산 880mg함유"
스트라타젭블럭,100g,1,8809545260007,,,,비의약품,-
한생액(파우치),8mL*6포,1,8806420012355,,,,일반의약품,"우황이 함유된 양·한방 
진해거담제"
디아로펜플러스,10c,1,8806417058519,,,,일반의약품,"진경제가 포함되어 복통이 
동반된 묽은 변,설사에 효과적"
티지피 파모티딘정,20T,1,8806448062523,,,,일반의약품,위산분비억제제
스트레스 데이 케어,60정,1,8809543740518,,,,건강기능식품,-
파메딘정,20T,1,8800588004627,,,,일반의약품,위장약
(신)바세린립테라피코코아버터립밤,7g,1,8801619049884,,,,비의약품,-
하이테크소독용에탄올,250ml,1,8809295770016,,,,비의약품,-
명작폴리코사놀,36c*2,1,8809124109222,,,,건강기능식품,-
하이테크아세톤,100ml,1,8809295770177,,,,비의약품,-
선샤인미세먼지방역마스크KF94,1EA,1,8809759570015,,,,비의약품,-
하이테크베이비파우더,100g,1,8809295770221,,,,비의약품,-
모이스타점안액,0.5ml,30,8806706084625,,,,일반의약품,-
비디마이크로파인펜니들(31G*5mm),100p,1,0382903204700,,,,비의약품,-
내츄럴라이즈플래티넘오메가3-1100,180c,1,6292620000810,,,,건강기능식품,"1일 1캡슐
오메가3 1000mg"
동국프리아이시럽,5ml,1,8806534046321,,,,일반의약품,"부루펜계열 아이 해열제
(포도맛)"
프리에이시럽,5ml,1,8806534046420,,,,일반의약품,"아세트아미노펜 성분의 해열제
부루펜계열과 교차복용"
팜스케어고탄력밴드(대형),8매,1,8809263660042,,,,비의약품,-
아에르스탠다드핏 시크그레이,1EA,1,8809493472293,,,,비의약품,-
하이테크백색바세린,100g,1,8809110690338,,,,비의약품,-
하이테크바퀴킬라훈연제,150g,1,8809295770528,,,,비의약품,-
하이테크바퀴싹에스에어로솔,200ml,1,8809295770139,,,,비의약품,-
하이테크바퀴베이트(작은바퀴용),1.5g*12p,1,8809295770269,,,,비의약품,-
아에르스텐다드핏KF94그래이,1EA,1,8809493472286,,,,비의약품,-
뉴크린웰황사마스크KF94(아이보리),5EA,1,8809648372621,,,,비의약품,"국내 생산 KF94 마스크
아이보리색"
인택트포도당캔디(딸기),40g,1,4005292002660,,,,비의약품,-
한미콜드마스크비강스프레이,20ml,1,8806029612918,,,,비의약품,-
그린스토어 시데랄액티브패스트멜트,20포,1,8809325382035,,,,건강기능식품,-
네오메디컬클린키퍼KF94(중형),1EA,1,8809328352097,,,,비의약품,-
드시모네키즈스텝1(딸기향),30p,1,8809549778805,,,,건강기능식품,"보장균수 200억/1일 1포 
프리바이오틱스 포함/딸기향"
잇백세이클린틀니세정제,60T,1,806016220010,,,,비의약품,-
한방입욕제때비누,150g,1,8809130167094,,,,비의약품,-
조이든살균소독제,500mi,1,8809738570029,,,,비의약품,-
하이테크과산화수소수,250ml,1,8809295770023,,,,비의약품,-
펜싹코프연질캡슐,10c,1,8800551021217,,,,일반의약품,기침 가래 인후통에 목감기약
펜싹코연질캡슐,10c,1,8800551021118,,,,일반의약품,콧물 코막히 재채기 콧물감기약
하이테크과산화수소수,60ml,1,8809295770030,,,,비의약품,-
제스타제,10T,1,8809720800455,,,,동물의약품,반려동물용 종합 소화효소제
비맥스에버정,60T,1,8806581081023,,,,일반의약품,"로얄젤리,녹용이 함유된
프리미엄 종합 비타민제"
애드빌,10T,1,8800516003319,,,,일반의약품,"두통,치통,생리통"
슈퍼멕스글루코사민1500,180*2,1,8809713760186,,,,건강기능식품,-
센테라정(60정*2개입),60정*2,1,18806448062018,,,,일반의약품,"정맥질환 개선제
다리 부종,다리가 무겁고 아플 때"
경방소체환,5포,1,8806613035666,,,,일반의약품,-
뉴)프렌즈아이드롭쿨,14ml,1,8806449043149,,,,일반의약품,"1일수회 사용,중간정도 청량감
눈물 보충,눈 피로 흐림 개선"
모드코프에스연질캡슐,10c,1,8806433063016,,,,일반의약품,-
니베아센시티브케어,4.8g,1,4005808850655,,,,비의약품,-
아에르 어드밴스드 L,1EA,1,8809493474846,,,,비의약품,-
니베아SOS립리페어,6ml,1,4005808651467,,,,비의약품,-
스트레스나이트케어,60포,1,8809543740488,,,,건강기능식품,-
곤칼라밴드(혼합),20매,1,8809321291317,,,,비의약품,-
퓨어킷항균마스크,1EA,1,8807516305115,,,,비의약품,-
장통환,5포,1,8806613030876,,,,일반의약품,생약 성분 함유 장염약
곤칼라밴드(표준),20매,1,8809321291294,,,,비의약품,-
면역칸,30포,1,8806052000529,,,,건강기능식품,-
드시모네키즈프리미엄,60포,1,8809549779079,,,,건강기능식품,"보장균수 1,000억 국내
어린이 유산균 중 1위 균수"
프렌즈아이드롭점안액(쿨하이),14ml,1,8806449043163,,,,일반의약품,시원한 점안액
뉴펜겔,50g,1,8806473000415,,,,일반의약품,"케토톱 동일 성분
시원한 겔타입"
투윈방풍통성산,500T,500,8800551002117,,,,일반의약품,변비 비만 한방제
엑셀렌C메가,60포,1,8809668701944,,,,건강기능식품,"비타민C1000mg 
피로,항산화,면역증강"
셀로맥스 아잘,1병,1,8809145477119,,,,비의약품,-
비바씨과립,120포,1,8809306365521,,,,건강기능식품,"천연유래 비타민씨 과립
베리류추출,항산화,세포보호"
화평원(80ml),10포,1,8809306365996,,,,비의약품,-
화평원,1포,1,8809306365897,,,,비의약품,-
신신캡시쿰핫(고추파스),6매,1,8806438009828,,,,일반의약품,-
신신찜파스,8매,1,8806438003413,8806438003420,,,일반의약품,"천연 고추 추출성분 캡사이신
근육통∙요통∙관절통"
프렌즈아이드롭 순 14ml,14ml,1,8806449043156,,,,일반의약품,시원함 없이 순해요
위엔,15ml*15포,1,8809325382134,,,,건강기능식품,"위점막 보호,위 건강 영양제
속쓰림,소화불량"
코메키나나잘스프레이0.1%,15ml,1,8806416074213,,,,일반의약품,뿌리는 코막힘치료제
드시모네키즈스텝1딸기향,60포,1,8809549778812,,,,건강기능식품,"보장균수 200억/1일 1포 
프리바이오틱스 포함/딸기향"
스킨가솔겔,15g,1,8809720800424,,,,동물의약품,-
판코타제,10T,1,8806448058915,,,,일반의약품,"소화 안 되서 체할 때
소화불량 해결"
광동평위천프라임액,75ml,1,8806418068111,,,,일반의약품,-
숨쉬고KF마스크(대형/검정),1개,1,8809358102624,,,,비의약품,-
이어덤,10ml,1,8809720800417,,,,동물의약품,"진균&세균,염증 
강아지 외이도염치료제"
스카논겔,15g,1,8806011711568,,,,일반의약품,-
세바메드클리어페이스클렌징바,100g,1,8809172067383,,,,비의약품,-
세바메드헤어리페어컨디셔너,200ml,1,8809172067420,,,,비의약품,-
세바메드안티헤어로스샴푸,200ml,1,8809172067437,,,,비의약품,-
세바메드에브리데이샴푸,200ml,1,8809172067444,,,,비의약품,-
세바메드클리어페이스클렌징폼,150ml,1,8809172067376,,,,비의약품,-
세바메드클리어페이스페이셜토너,150ml,1,8809172067369,,,,비의약품,-
세바메드클리어페이스케어젤,50ml,1,8809172067352,,,,비의약품,-
세바메드클리어페이스안티핌플젤,10ml,1,8809172067345,,,,비의약품,-
세바메드모이스처라이징바디로션(대),400ml,1,4103040923004,8809172067086,,,비의약품,-
세바메드모이스처라이징바디로션(소),200ml,1,8809172067413,4103040112439,,,비의약품,-
폴리덴트접착제맥스씰,70g,1,8806105401764,,,,비의약품,-
아라황사방역마스크KF94,1p,1,8809729250008,,,,비의약품,-
세바메드모이스처라이징크림,75ml,1,8809172067079,,,,비의약품,-
세바메드클레식클렌징바,100g,1,8809172067482,,,,비의약품,-
레모나산더블1000mg,100입,100,8806102878064,,,,비의약품,-
세바메드베이비립밤,4.8g,1,8809172066973,,,,비의약품,-
세바메드베이비칠드런스샴푸,250ml,1,4103040148735,8809172067550,,,비의약품,-
세바메드프로텍시브페이셜크림,50ml,1,8809172067529,,,,비의약품,-
세바메드베이비클렌징바,100g,1,8809172067581,4103040113672,,,비의약품,-
셀메드시아플렉스 페이스&바디로션,300ml,1,8809306366085,,,,비의약품,-
치치렌정(600mg),30T,30,8800570011930,,,,일반의약품,"치질,정맥순환개선제"
바이노발락IT(변비),800g,1,8806031160971,,,,비의약품,-
바이오캡 포스트바이오틱스,30포,1,8809326030461,,,,건강기능식품,-
매일 셀렉스 스포츠 웨이프로틴 파우더 복숭아,627g,1,8801121028469,,,,비의약품,-
에스코판정,10T,1,8806518021627,,,,일반의약품,"위통,위경련,복통
진경제"
매일 셀렉스 스포츠 웨이프로틴 파우더 초컬릿,627g,1,8801121028452,,,,비의약품,-
밴드랜드,22매,1,8809118170092,,,,비의약품,-
에어신신파스F,220ml,1,8806037006037,,,,비의약품,-
뉴미스센스,1EA,1,8800051211743,,,,비의약품,-
비바진엑스,120c,120,8809306366092,,,,건강기능식품,"150여종의 천연 원료로 만든
천연 종합 비타민"
이부펜정400mg(이부프로펜),10정,1,8806448015758,,,,일반의약품,"이부프로펜400mg
효과빠른 해열진통소염제"
에스엠식이섬유,270T,1,8809105035007,,,,건강기능식품,"다이어트 보조제,변비 완화
차전차피 식이섬유"
에이씨케어베스트컬렉션세트,1SET,1,8807050015860,,,,비의약품,-
바이노발락AR(분유토함),800g,1,8806031160964,,,,비의약품,-
시아플렉스하이드로크림,30ml,1,8809306365934,,,,비의약품,-
레모나산,10p,1,8806102871928,,,,비의약품,-
메가콘트로연질캡슐,60c*2EA,2,18806616003317,,,,일반의약품,-
블랙라벨 끈조절 편발수마스크,1,1,8809273176724,,,,비의약품,-
토노겐시럽,10ml*50EA,50,8806876000944,,,,일반의약품,"정신적,육체적 무기력증 우울증
조혈작용,비타민 보급"
셀메드비바진엑스,60c,1,8809306366108,,,,건강기능식품,-
퍼스트랩 프로바이오틱 세럼,30ml,15,8806018712292,,,,비의약품,-
마자인환,1p,1,8806613006215,,,,일반의약품,-
이크린고급형치실,50m,1,8809010250250,,,,비의약품,-
종근당건강홍삼정,100ml*10EA,10,8805915302421,,,,비의약품,-
엠오이칼살베이(무가당),40g,1,4009077026506,,,,비의약품,-
그린데이플러스장용연질캡슐,20c,1,8800551024515,,,,일반의약품,-
동아박카스D,100EA,100,8806011615460,,,,비의약품,-
헬스면봉,200p,1,8809003722108,,,,비의약품,-
또봇립케어딸기향,4.5g,1,8809042045541,,,,비의약품,-
푸레파인마일드좌제,10EA,1,8806429063921,,,,일반의약품,"치질로 인해 고통 받지 말고
넣어주자"
잇솔 치태케어,1EA,1,8806016912113,,,,비의약품,-
젤리잘크톤,30포,1,8806119821800,,,,건강기능식품,기초탄탄 영양쑥쑥
그날엔코프연질캡슐,10c,1,8806481031418,8806481031418,,,일반의약품,-
그날엔콜드연질캡슐,10c,1,8806481031517,8806481031517,,,일반의약품,-
브리즈원황사마스크(KF80),1매,1,8809597420923,,,,비의약품,-
오메가1100,90c,1,8809325380215,,,,건강기능식품,"눈건조,혈액 순환,기억력 개선
중성지방 감소에 도움"
당혈환(당귀작약산),90p,90,8806613022529,,,,일반의약품,"손발이 차고 피로한
생리통,갱년기 장애"
윤보환(육미지황탕),90p,90,8806613030029,,,,일반의약품,"간신음허의 회복 소변볼때의
불편감,화장실 자주 가고싶을때"
듀오소독용에탄올스프레이,500ml,1,8809664930942,,,,비의약품,-
바디스엑스과립,2.5g,1,8806613024318,,,,일반의약품,-
마그스,10c,1,8806446033532,,,,일반의약품,"근육경련, 눈떨림이 
잦은 분께 추천"
아에르스탠다드핏블랙KF94(대형),1EA,1,8809493472255,,,,비의약품,-
프리미엄 유쾌통쾌 내안의변신(쾌변),100ml,1,8809209603850,,,,비의약품,-
씨큐에스포르테120정,120T,1,8809525433339,,,,건강기능식품,"항산화,혈압감소,혈당상승억제"
그린스토어관절엔플러스,60C,1,8809325382127,,,,건강기능식품,먹기 편한 고함량 MSM
콰트로엽산엔이노시톨,60포,1,8809543740501,,,,건강기능식품,"이노시톨4000mg+
엽산400ug"
세이클린6정,6T,1,8806016220027,,,,비의약품,-
셀메드헤모플렉스캡슐,120c,1,8809306365873,,,,건강기능식품,-
쎌티아이주니어,60c,1,8809467500564,,,,건강기능식품,"만10세~만19세 유산균
보장균수 100억CFU"
메부라틴정150mg,100T*2EA,1,48806625008878,,,,일반의약품,-
뉴트리원 정우성 포스트바이오틱스,30포,1,8809514642384,,,,비의약품,-
수면건강엔락티움플러스,60T,1,8809685970613,,,,건강기능식품,-
프롬바이오 관절연골엔 보스웰리아,60T,1,8606129214333,,,,비의약품,-
B&B신생아면봉,210p,1,8801092515272,,,,비의약품,-
닥터아토우리아기물티슈(내추럴),20매,1,8801092514374,,,,비의약품,-
그린프로폴리스 스프레이,30ml,1,8809549778959,,,,비의약품,-
엑세라민프로정,60T,1,8806472056819,,,,일반의약품,"고함량 비타민B군+비오틴
육체피로,신경통,구내염,눈피로"
엑세라민프로정,60T*2,1,18806472056816,,,,일반의약품,"고함량 비타민B군+비오틴
육체피로,신경통,구내염,눈피로"
B&B젖병세정제(거품),450ml,1,8801092512448,8801092512448,,,비의약품,-
유피스콧물흡입기,1EA,1,8809021712907,8809021714512,,,비의약품,-
센시아정,120T,1,8806534025265,,,,일반의약품,"다리붓기,부종개선 슬림한다리"
수성탈지면,20g,1,8809302580331,,,,비의약품,-
수성탈지면,50g,1,8809302580348,,,,비의약품,-
맨담한방고카타플라스마,6매,1,8806419058319,8806419058319,,,일반의약품,-
뉴레클리스캡슐,120c,1,8809349961049,,,,건강기능식품,"1일 2회 복용 인지능력
저하 개선(포스파티딜세린)"
삼소천액,75ml,1,8806613025513,,,,일반의약품,"오래된 기침,열감기"
경방쌍화탕액,75ml,1,8806613013213,,,,일반의약품,-
홍보환,3g,1,8806613034812,,,,일반의약품,"간 보호 및 간기능 개선을
통한 숙취 해소"
오스템클로르헥시딘,100ml,1,8800535001914,,,,일반의약품,"살균소독 가글
치과 치료 후,구내염,잇몸염증"
알로에 리얼쿨 수딩젤,300ml,1,8809566990594,,,,비의약품,-
마이노신(배농산급탕),10c,1,8806613023519,,,,일반의약품,-
익띠앙스틱립밤보너스팩,3g*2EA,2,8806006381325,,,,비의약품,-
솔봄액,20ml*60EA,60,48806498020762,,,,일반의약품,"마시는 간기능 개선제
피로 회복,간 세포 보호 등"
케프로텍카타플라스마,5매,1,8806420046619,,,,일반의약품,"자극 적은 파스넓은 부위
사용추천 5매입"
셀메드아미플렉스,480g,1,8809306365941,,,,건강기능식품,-
지대로사,22g*4EA,1,8809419780242,,,,비의약품,-
나와라자판기,1EA,1,8809632251574,,,,비의약품,-
맑은나라KF94,30매,1,8809754230105,,,,비의약품,-
삼마켓홍삼제리,500g,1,8809291819016,,,,비의약품,-
립에센스(초코향),1EA,1,8809261908368,,,,비의약품,-
립에센스(쿠앤크향),1EA,1,8809261909556,,,,비의약품,-
립에센스(체리향),1EA,1,8809261909860,,,,비의약품,-
립에센스(민트향),1EA,1,8809261909884,,,,비의약품,-
립에센스(레몬향),1EA,1,8809261909570,,,,비의약품,-
로열그린프로폴리스,6p,1,8809218581590,,,,건강기능식품,입병이 자주나시는 분께 추천
마스크스트랩,1EA,1,1003138706,,,,비의약품,-
소롤캡슐200mg,10c,1,8806218018149,,,,일반의약품,"끈적끈적한 가래를 묽게
1일 2회 1캡슐"
스펙트라클린모유저장팩,30p,1,8809108013781,,,,비의약품,-
아르테환(칠제항부환),1p,1,8806581049214,,,,일반의약품,"월경불순,생리통완화"
그린프로폴리스스프레이,1EA,1,8809467661647,,,,건강기능식품,"1일 2회,1회당 4번씩 분사
구강 항균 및 환절기 대비"
힙스테이핑발목랩보호대(S),1EA,1,8809288113394,,,,비의약품,-
하이퍼스킨TR(10cm*10m),1EA,1,8809241996101,,,,비의약품,-
닥터액티브,288g,1,8801207157090,,,,건강기능식품,"단백질+비타민+미네랄
찬물에도 잘녹는 미숫가루맛"
키즈비타D앵글리버드,10T,1,8809208685697,,,,비의약품,-
조르단검프로텍터,1EA,1,7038516545404,,,,비의약품,-
KB쿨링센스치실(무향),500D,1,8809334170739,,,,비의약품,-
초임계알티지오메가3,120c,1,8809118355888,,,,건강기능식품,초임계로 추출한 rTG오메가3
템포티슈,90매,1,8809392830644,,,,비의약품,-
타겐에프연질캅셀,120c,1,8806437022033,88064370220331716,,,일반의약품,"빌베리건조엑스
망막변성 및 혈관장애 개선"
더블1000플러스칫솔,1EA,1,8809614130248,,,,비의약품,-
코아나과립,3g,1,8806638022511,8806638022511,,,일반의약품,"한방과립
코막힘,부비동염,만성비염"
석류콜라겐500,140ml,1,8801056171759,,,,비의약품,-
데일리마스크,5매,1,8809526050122,,,,비의약품,-
피크노제놀,30c,1,8807001093923,,,,건강기능식품,"유해한 활성산소 제거
생리통 감소,눈건강,혈액순환"
니베아립크레용코랄블라썸,3g,1,4005900600882,,,,비의약품,-
니베아립크레용레드팝,3g,1,4005900600899,,,,비의약품,-
아르테환,30p,30,8806581049245,,,,일반의약품,"월경불순,생리통완화"
아르테환,90p,2,18806581049242,,,,일반의약품,"월경불순,생리통완화"
벤포벨지정,120T,1,18806433083516,,,,일반의약품,"프리미엄 기능성 활성비타민B군
육체피로,구내염,근육통"
케어셀라하이드레이션아쿠아크림,100ml,1,8809275870590,,,,비의약품,-
케어셀라마일드비타민페이셜오일,30ml,1,8809275870163,,,,비의약품,-
청혈온보단,120p,1,8806613032146,,,,일반의약품,"한방 생리불순,생리통치료제"
데일리가드마스크,50매,1,8809526050153,,,,비의약품,-
항균구리마스크M,1EA,1,8809152166211,,,,비의약품,-
석류콜라겐S,14p,1,8809514642834,,,,비의약품,-
비타민하우스 포스트바이오틱스엔자임,30p,1,8809118355840,,,,비의약품,-
하이센스와이드매직L,10매,1,6924037500033,,,,비의약품,-
VH초임계알티지오메가3,60c,1,8809118355697,,,,건강기능식품,-
핸드워머,1EA,1,8809261906975,,,,비의약품,-
일양자가점차긱탄력압박붕대(대),1EA,1,2880927317468,,,,비의약품,-
아줄렌마스크,1EA,1,8809511760913,,,,비의약품,-
유한m 프리미엄콜라겐S,2g*30EA,1,8809159469735,,,,비의약품,-
프라임오메가3위드하프씰,360c,1,8809642491281,,,,건강기능식품,오메가로 혈관 건강을 지켜요
TGcare뿡뿡우리집유산균,30p*2EA,2,8809364344247,,,,건강기능식품,-
엘리마s,10p,1,8809732850059,,,,비의약품,-
남극크릴오일,60c*2EA,2,0700900986489,,,,비의약품,-
엠플러스황사마스크KF94,1EA,1,8809657490088,,,,비의약품,-
토종익모초환,300g,1,8809068120352,,,,비의약품,-
알티지오메가플러스디3000,60c,1,8809543740525,,,,건강기능식품,"혈행개선,기억력 개선"
케어덤씬 스팟패치,60매,1,8806035113706,,,,비의약품,-
케어덤씬(잘라쓰는타입),2매,1,8806035094050,,,,비의약품,-
소리소MB필터어린이용마스크,25매,1,8809267302009,,,,비의약품,-
눈촉촉아레즈투,60c,1,8809136241965,,,,건강기능식품,"1캡슐로 전반적 눈 건강 유지
황반색소 유지 및 건조증 개선"
데일리세이프마스크(블루),10매,1,8803529507003,,,,비의약품,-
건강한마스크(분홍),50매,1,8011161830626,,,,비의약품,-
덴탈마스크(청색),50매,1,8809057768176,,,,비의약품,-
그린비아마일드(구수한맛),200ml,1,8801033771217,,,,비의약품,-
메디컴라텍스글로브(M),100p,1,4894476007245,,,,비의약품,-
메디컴라텍스글로브(L),100p,1,4894476007252,,,,비의약품,-
렛잇비정,60T*2EA,2,8806416067219,,,,일반의약품,고함량 활성형 비타민B군
더블1100칫솔,1EA,1,8809614130095,,,,비의약품,-
더블2100칫솔,1EA,1,8809614130101,,,,비의약품,-
바이오베타칸S,30포*2,1,8809250190934,,,,일반의약품,-
리큐비이엑스정 40정,40T,1,8806503042217,,,,일반의약품,"초고함량 비타민B1 300mg
신경계질환 예방에 도움"
리큐비이엑스정 80정,80T,1,8806503042224,,,,일반의약품,"초고함량 비타민B1 300mg
신경계질환 예방에 도움"
유리아주스틱듀오,1set,1,8809367312786,,,,비의약품,-
제감원,80ml,1,8809306365910,,,,비의약품,-
베베클나잘스프레이,20ml,1,8806449147915,,,,일반의약품,"내성없는 식염수나잘스프레이
코막힘,콧속 세척,영유아사용"
더스논황사방역용마스크KF94대형(블랙),1EA,1,8806011637189,,,,비의약품,-
덴디돌플러스,30T,1,6292620018228,,,,건강기능식품,"프로폴리스+칼슘
1일 1정 잇몸영양제(1개월)"
리독스 포르테,120c,1,8802622261027,,,,건강기능식품,"하루 한번 복용 밀크씨슬함유
종합영양제"
타치온정,90T,1,8806265003877,,,,일반의약품,"글루타치온
항산화제"
검가드오리지널,750ml,1,8806011617969,,,,비의약품,-
에너리티액,50ml,1,8806418067817,,,,일반의약품,카페인함유 피로회복제
레드오메가3,120c,1,8806119821732,,,,건강기능식품,자료 없음
헬민리버스액,10병,1,1880642706971,,,,일반의약품,UDCA함유한 간기능 개선제
하트캅정(23kg~45kg) 6정,6T,1,8809625390549,,,,동물의약품,"강아지 심장사상충예방약
1달에 1번씩 복용"
조아눈건강,90c,1,8807001101246,,,,건강기능식품,눈건강을 챙겨야 할때
검가드오리지널,380ml,1,8806011617976,,,,비의약품,-
면역앤 그린프로폴리스 츄어블캡슐,56c,1,8806119821817,,,,건강기능식품,-
프리미엄 알티지오메가3 골드,60c,1,8809549778089,,,,건강기능식품,"비린내 나지 않는 오메가3
비타민 D 1,000IU"
메디폼트러블큐어,12매,1,8809275775017,,,,비의약품,-
